Typ kvalifikace,Titul,1. stupeň ZŠ,2. stupeň ZŠ,SŠ,Specializace,Typ ostatní kvalifikace,Název,Vysoká škola,Fakulta,Cena,Město,SDS / semestr,P,DF,K,jednoobor,dvouobor,Odkaz na více info,Poznámka,ČJL,AJ,NJ,FJ,ŠJ,RJ,M,IKT,D,OV ,ZSV,F,CH,PŘ,Z,HV,VV,VKZ,TV,ČSP,DV,ETV,FAV,TPV,OSV,VDO,EGS,MKV,ENV,MV,ODBP,PV,ODBV,NOVÁ AKREDITACE DO 2021
Kurz CŽV,0,0,0,SŠ,0,0,Učitelství pro střední školy,Univerzita Karlova,Filozofická fakulta,16 000 Kč,Praha,4,P,0,0,1,0,https://kps.ff.cuni.cz/cs/ucitelstvi/ucitelstvi-pro-ss/ucitelstvi-pro-stredni-skoly/,"- pouze pro absolventy Mgr. oborů (na filozofických či pedagogických fakultách): Anglistika a anglofonní literatura, Česká literatura a literární vědy, Český jazyk a teorie komunikace, Filozofie a religionistika, Germánská studia, Historie, Hudební věda, Románská studia, Řecká a latinská studia, Pedagogika, Psychologie, Sociologie
- obsahuje výcvikovou část i praktickou část formou odborných praxí doplněnou samostudiem důležitých poznatků",ČJL,AJ,NJ,FJ,ŠJ,0,0,0,D,OV ,ZSV,0,0,0,0,0,0,VKZ,0,ČSP,0,ETV,0,0,0,0,0,0,0,MV,0,0,0,ANO
Ostatní kvalifikace,0,0,0,SŠ,0,studium pedagogiky,Studium pedagogiky,Mendelova univerzita v Brně,Institut celoživotního vzdělávání,13 900 Kč,Brno,3,0,0,K,1,0,https://icv.mendelu.cz/32509n-studium-pedagogiky,"se zaměřením na výuku zemědělských (vč. lesnických, zahradnických, ekologických, potravinářských, dřevařských), technických (vč. mechanizačních, informatických), ekonomických (vč. obchodu a služeb, administrativy, podnikání) a zdravotnických (vč. veterinárních) oborů.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODBP,PV,ODBV,
Kurz CŽV,0,0,0,SŠ,0,0,Učitel odborného výcviku a učitel praktického vyučování,Univerzita Hradec Králové,Pedagogická fakulta,15 000 Kč,Hradec Králové,2,0,0,K,1,0,https://czv.uhk.cz/dps/uov_upv.php,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PV,ODBV,
Kurz CŽV,0,0,0,SŠ,0,0,Učitelství odborných předmětů střední školy,Univerzita Jana Evangelisty Purkyně v Ústí nad Labem,Pedagogická fakulta,19 500 Kč,Ústí nad Labem,3,0,0,K,1,0,https://www.pf.ujep.cz/cs/2780/studium-v-oblasti-pedagogickych-ved-ucitelstvi-odbornych-predmetu-stredni-skoly-e-prihlaska-spv-u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODBP,0,0,
Ostatní kvalifikace,0,1. stupeň ZŠ,2. stupeň ZŠ,SŠ,0,jazyková zkouška min. C1 SERR pro jazyky,Jazyková zkouška Cambridge CAE,Jazyková škola - EVROPSKÉ VZDĚLÁVACÍ CENTRUM ,0 Kč,4 550 Kč,Hradec Králové,0,0,0,K,1,0,https://www.cambridge-zkousky.cz/jazykova-zkouska-cambridge-cae-anglicky-jazyk-anglictina.html,0,0,AJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ostatní kvalifikace,0,1. stupeň ZŠ,2. stupeň ZŠ,SŠ,0,doplňující didaktické studium příslušného jazyka,Doplňující didaktické studium anglického jazyka,České vysoké učení technické v Praze,Masarykův ústav vyšších studií,5 950 Kč,Praha,1,0,0,K,1,0,http://www.muvs.cvut.cz/zajemci-o-studium/jazykove-vzdelavani/doplnujici-didakticke-studium/,0,0,AJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ostatní kvalifikace,0,0,2. stupeň ZŠ,0,0,doplňující studium k rozšíření odborné kvalifikace (DVPP),Matematika – učitelství pro 2. stupeň ZŠ,Univerzita Palackého v Olomouci,Pedagogická fakulta,28 310 Kč,Olomouc,4,0,0,K,1,0,https://ccv.upol.cz/studijni-programy-czv-detail/22/matematika---uitelstv-pro-2.-stupe-z,0,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ostatní kvalifikace,0,1. stupeň ZŠ,0,0,0,doplňující studium k rozšíření odborné kvalifikace (DVPP),Učitelství pro 1. stupeň ZŠ,Univerzita Palackého v Olomouci,Pedagogická fakulta,42 370 Kč,Olomouc,6,0,0,K,1,0,https://ccv.upol.cz/studijni-programy-czv-detail/24/uitelstv-pro-1.-stupe-z,0,ČJL,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ostatní kvalifikace,0,0,0,SŠ,0,doplňující studium k rozšíření odborné kvalifikace (DVPP),Dějepis – učitelství pro SŠ,Univerzita Palackého v Olomouci,Pedagogická fakulta,18 340 Kč,Olomouc,2,0,0,K,1,0,https://ccv.upol.cz/studijni-programy-czv-detail/16/djepis---uitelstv-pro-s,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Titul,Bc.,0,2. stupeň ZŠ,SŠ,Učitelství,0,Anglický jazyk a literatura se zaměřením na vzdělávání,Univerzita Karlova,Filozofická fakulta,0 Kč,Praha,6,P,0,0,1,0,https://is.cuni.cz/studium/prijimacky/index.php?do=detail_obor&id_obor=24688,Filologie,0,AJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANO
